0,the,son
1,son,of
2,of,the
3,the,brahman
4,brahman,in
5,in,the
6,the,shade
7,shade,of
8,of,the
9,the,house
10,house,in
11,in,the
12,the,sunshine
13,sunshine,of
14,of,the
15,the,riverbank
16,riverbank,near
17,near,the
18,the,boats
19,boats,in
20,in,the
21,the,shade
22,shade,of
23,of,the
24,the,sal-wood
25,sal-wood,forest
26,forest,in
27,in,the
28,the,shade
29,shade,of
30,of,the
31,the,fig
32,fig,tree
33,tree,is
34,is,where
35,where,siddhartha
36,siddhartha,grew
37,grew,up
38,up,the
39,the,handsome
40,handsome,son
41,son,of
42,of,the
43,the,brahman
44,brahman,the
45,the,young
46,young,falcon
47,falcon,together
48,together,with
49,with,his
50,his,friend
51,friend,govinda
52,govinda,son
53,son,of
54,of,a
55,a,brahman.
56,brahman.,the
57,the,sun
58,sun,tanned
59,tanned,his
60,his,light
61,light,shoulders
62,shoulders,by
63,by,the
64,the,banks
65,banks,of
66,of,the
67,the,river
68,river,when
69,when,bathing
70,bathing,performing
71,performing,the
72,the,sacred
73,sacred,ablutions
74,ablutions,the
75,the,sacred
76,sacred,offerings.
77,offerings.,in
78,in,the
79,the,mango
80,mango,grove
81,grove,shade
82,shade,poured
83,poured,into
84,into,his
85,his,black
86,black,eyes
87,eyes,when
88,when,playing
89,playing,as
90,as,a
91,a,boy
92,boy,when
93,when,his
94,his,mother
95,mother,sang
96,sang,when
97,when,the
98,the,sacred
99,sacred,offerings
100,offerings,were
101,were,made
102,made,when
103,when,his
104,his,father
105,father,the
106,the,scholar
107,scholar,taught
108,taught,him
109,him,when
110,when,the
111,the,wise
112,wise,men
113,men,talked.
114,talked.,for
115,for,a
116,a,long
117,long,time
118,time,siddhartha
119,siddhartha,had
120,had,been
121,been,partaking
122,partaking,in
123,in,the
124,the,discussions
125,discussions,of
126,of,the
127,the,wise
128,wise,men
129,men,practising
130,practising,debate
131,debate,with
132,with,govinda
133,govinda,practising
134,practising,with
135,with,govinda
136,govinda,the
137,the,art
138,art,of
139,of,reflection
140,reflection,the
141,the,service
142,service,of
143,of,meditation.
144,meditation.,he
145,he,already
146,already,knew
147,knew,how
148,how,to
149,to,speak
150,speak,the
151,the,om
152,om,silently
153,silently,the
154,the,word
155,word,of
156,of,words
157,words,to
158,to,speak
159,speak,it
160,it,silently
161,silently,into
162,into,himself
163,himself,while
164,while,inhaling
165,inhaling,to
166,to,speak
167,speak,it
168,it,silently
169,silently,out
170,out,of
171,of,himself
172,himself,while
173,while,exhaling
174,exhaling,with
175,with,all
176,all,the
177,the,concentration
178,concentration,of
179,of,his
180,his,soul
181,soul,the
182,the,forehead
183,forehead,surrounded
184,surrounded,by
185,by,the
186,the,glow
187,glow,of
188,of,the
